Modbus holding-register scan
port=COM8  slave=11  baud=9600 8N1  range=0x0000-0xFFFF  timeout=1s
started=2026-07-23 12:22:04

  ADDR(dec)   ADDR(hex)   RAW    UINT16   FLOAT32(this,next)
  8251        0x203B      3B00   15104    (paired into 0x203A)
  8252        0x203C      3C00   15360    0.0078270435
  8253        0x203D      3D00   15616    (paired into 0x203C)
  8254        0x203E      3E00   15872    0.12524033
  8255        0x203F      3F00   16128    (paired into 0x203E)
  8256        0x2040      4000   16384    2.0039673
  8257        0x2041      4100   16640    (paired into 0x2040)
  8258        0x2042      4200   16896    32.06543
  8259        0x2043      4300   17152    (paired into 0x2042)
  8260        0x2044      4400   17408    513.0781
  8261        0x2045      4500   17664    (paired into 0x2044)
  8262        0x2046      4600   17920    8209.75
  8263        0x2047      4700   18176    (paired into 0x2046)
  8264        0x2048      4800   18432    131364
  8265        0x2049      4900   18688    (paired into 0x2048)
  8266        0x204A      4A00   18944    2.101952e+06
  8267        0x204B      4B00   19200    (paired into 0x204A)
  8268        0x204C      4C00   19456    3.363328e+07
  8269        0x204D      4D00   19712    (paired into 0x204C)
  8270        0x204E      4E00   19968    5.3816525e+08
  8271        0x204F      4F00   20224    (paired into 0x204E)
  8272        0x2050      5000   20480    8.611168e+09
  8273        0x2051      5100   20736    (paired into 0x2050)
  8274        0x2052      5200   20992    1.3778708e+11
  8275        0x2053      5300   21248    (paired into 0x2052)

Scanned 65536 addresses, 432 hits, 216 float32 pairs. Elapsed 11m47.105s.
